severity,code,date,match,match_id,detail,source_filename
WARNING,BRANN_STARTERS_NOT_11,1911-06-21,Brann-Bergens Sportsklub 8-0,70cf1b3a-5589-4a56-83cd-68c0ad6039e1,"Brann har 0 registrerte startere, ikke 11.",1911-06-21_brann-bergen-sportsklubb.json
WARNING,BRANN_STARTERS_NOT_11,1911-06-25,Bergen Fodboldklub-Brann 3-3,d60401bf-264a-4376-b448-be7f887927ca,"Brann har 0 registrerte startere, ikke 11.",1911-06-25_bergen-fodboldklub-brann.json
WARNING,BRANN_STARTERS_NOT_11,1911-06-29,Brann-TIF Viking 4-1,3f0baa09-6c7e-4ba8-8690-a323b484b1e2,"Brann har 0 registrerte startere, ikke 11.",1911-06-29_brann-viking-bergen.json
WARNING,BRANN_STARTERS_NOT_11,1911-08-20,TIF Viking-Brann 1-6,01119e61-bf38-43b4-af8a-2f193c335278,"Brann har 0 registrerte startere, ikke 11.",1911-08-20_viking-bergen-brann.json
WARNING,BRANN_STARTERS_NOT_11,1911-09-03,Bergens Sportsklub-Brann 2-5,f1c38376-27ff-4d20-9c4b-182dce1b6b7f,"Brann har 0 registrerte startere, ikke 11.",1911-09-03_bergen-sportsklubb-brann.json
WARNING,BRANN_STARTERS_NOT_11,1911-09-10,Bergen Fodboldklub-Brann 4-2,99ee05ba-e5d9-43ad-811f-0877814d5959,"Brann har 0 registrerte startere, ikke 11.",1911-09-10_bergen-fodboldklub-brann.json
WARNING,BRANN_STARTERS_NOT_11,1912-05-05,Bergens Sportsklub-Brann 4-3,e59f4417-e395-433a-835e-fe6a414617d1,"Brann har 2 registrerte startere, ikke 11.",1912-05-05_bergen-sportsklubb-brann.json
WARNING,BRANN_STARTERS_NOT_11,1912-09-08,TIF Viking-Brann 0-9,aa0e0b42-e342-460d-9b92-b0428b13b8ba,"Brann har 0 registrerte startere, ikke 11.",1912-09-08_viking-bergen-brann.json
WARNING,BRANN_STARTERS_NOT_11,1912-09-15,Brann-Bergens Sportsklub 6-0,5654bda7-b48f-4d6b-922a-638572b09d34,"Brann har 0 registrerte startere, ikke 11.",1912-09-15_brann-bergen-sportsklubb.json
WARNING,BRANN_STARTERS_NOT_11,1912-09-22,Brann-Stavanger 2-8,b42422a9-e9b2-44f0-a94f-3dce5dfd6c61,"Brann har 7 registrerte startere, ikke 11.",1912-09-22_brann-stavanger.json
WARNING,BRANN_STARTERS_NOT_11,1913-06-08,Brann-TIF Viking 6-0,669033b9-0ed9-4e05-abf9-9eeea9576d8c,"Brann har 0 registrerte startere, ikke 11.",1913-06-08_brann-viking-bergen.json
WARNING,BRANN_STARTERS_NOT_11,1913-06-15,Bergens Sportsklub-Brann 2-5,26ec031b-7233-4bd1-bc26-b86d150f9236,"Brann har 0 registrerte startere, ikke 11.",1913-06-15_bergen-sportsklubb-brann.json
WARNING,BRANN_STARTERS_NOT_11,1913-08-17,Brann-TIF Viking 4-1,8fef73d1-14c3-4a0e-a5b8-eefa512326a7,"Brann har 1 registrerte startere, ikke 11.",1913-08-17_brann-viking-bergen.json
WARNING,BRANN_STARTERS_NOT_11,1913-08-31,Brann-Bergens Sportsklub 2-2,b9d8b212-6cd3-4306-9e8e-c26842b16bef,"Brann har 2 registrerte startere, ikke 11.",1913-08-31_brann-bergen-sportsklubb.json
WARNING,BRANN_STARTERS_NOT_11,1914-05-21,TIF Viking-Brann 0-5,038137f3-75d5-4a6a-952c-a20eb08e80d4,"Brann har 0 registrerte startere, ikke 11.",1914-05-21_viking-bergen-brann.json
WARNING,BRANN_STARTERS_NOT_11,1914-05-24,Brann-Bergens Sportsklub 3-1,4a0bb375-5393-4166-9695-c04e2b88a4a4,"Brann har 9 registrerte startere, ikke 11.",1914-05-24_brann-bergen-sportsklubb.json
WARNING,BRANN_STARTERS_NOT_11,1914-06-28,Brann-Drott 7-3,3297f9e0-1706-4c29-b0b6-f0d805c8d832,"Brann har 5 registrerte startere, ikke 11.",1914-06-28_brann-drott.json
WARNING,BRANN_STARTERS_NOT_11,1914-09-13,Stavanger-Brann 8-1,1743e8ff-c0e5-49a2-a08f-77531741e4ac,"Brann har 2 registrerte startere, ikke 11.",1914-09-13_stavanger-brann.json
WARNING,BRANN_STARTERS_NOT_11,1914-10-04,Bergens Sportsklub-Brann 0-7,11641f8d-8acf-45fb-8e26-7e1ce7868aec,"Brann har 0 registrerte startere, ikke 11.",1914-10-04_bergen-sportsklubb-brann.json
WARNING,BRANN_STARTERS_NOT_11,1915-04-30,Drott-Brann 1-5,10a13020-cf7a-48a0-9062-f4ccc2c64ebb,"Brann har 0 registrerte startere, ikke 11.",1915-04-30_drott-brann.json
WARNING,BRANN_STARTERS_NOT_11,1915-05-09,Brann-Drott 7-0,ef4a954b-6b9d-48eb-be21-95a6259691c9,"Brann har 0 registrerte startere, ikke 11.",1915-05-09_brann-drott.json
WARNING,BRANN_STARTERS_NOT_11,1915-05-16,Brann-Bergens Sportsklub 4-1,5da55141-1234-43cf-bffe-a4604560fdbd,"Brann har 0 registrerte startere, ikke 11.",1915-05-16_brann-bergen-sportsklubb.json
WARNING,BRANN_STARTERS_NOT_11,1915-06-13,Brann-TIF Viking 4-2,a7e08cef-6fa7-4f45-846b-b08e08d84259,"Brann har 0 registrerte startere, ikke 11.",1915-06-13_brann-viking-bergen.json
WARNING,BRANN_STARTERS_NOT_11,1915-08-29,Bergens Sportsklub-Brann 2-6,a3201d41-6ce6-4013-a33a-15a441ba2a32,"Brann har 0 registrerte startere, ikke 11.",1915-08-29_bergen-sportsklubb-brann.json
WARNING,BRANN_STARTERS_NOT_11,1915-09-05,TIF Viking-Brann 4-4,6136d117-cf94-473b-b0fb-d0912a721e30,"Brann har 0 registrerte startere, ikke 11.",1915-09-05_viking-bergen-brann.json
